Channel,Elevation,Azimuth
1,14.812,-1.042
2,10.962,-1.042
3,7.989,-1.042
4,4.987,-1.042
5,2.97,-1.042
6,1.958,-1.042
7,1.618,3.125
8,1.281,-5.208
9,0.943,-1.042
10,0.605,3.125
11,0.267,-5.208
12,-0.07,-1.042
13,-0.407,3.125
14,-0.745,-5.208
15,-1.083,-1.042
16,-1.421,3.125
17,-1.758,-5.208
18,-2.098,-1.042
19,-2.435,3.125
20,-2.77,-5.208
21,-3.11,-1.042
22,-3.445,3.125
23,-3.782,-5.208
24,-4.12,-1.042
25,-4.455,3.125
26,-4.79,-5.208
27,-5.127,-1.042
28,-5.461,3.125
29,-5.796,-5.208
30,-6.131,-1.042
31,-7.133,-1.042
32,-8.129,-1.042
33,-9.13,-1.042
34,-10.115,-1.042
35,-11.102,-1.042
36,-12.076,-1.042
37,-13.044,-1.042
38,-14,-1.042
39,-18.959,-1.042
40,-24.967,-1.042
